,year,mileage,max_power,km_distances,binned_engine,co_cc,_num_sales,Diesel,petrol,firstowner,secondowner,others,_company,_seats_in_year
31,2015,19.67,126.2,0.11076504712195363,2,16333.0,118,1.0,0.0,1.0,0.0,0.0,11,118
32,2011,22.32,126.3,0.7881260380707589,2,16333.0,76,1.0,0.0,0.0,0.0,1.0,11,74
33,2011,18.0,62.0,0.7006044954653311,4,1409.0,32,0.0,1.0,0.0,1.0,0.0,4,25
34,2016,17.5,91.1,-0.048786000313672626,3,37420.0,190,0.0,1.0,1.0,0.0,0.0,20,19
35,2009,19.88817244611059,87.28475164011248,0.7707940800508842,3,16333.0,35,0.0,1.0,0.0,1.0,0.0,11,1
36,2014,13.0,168.5,0.9218424672091927,1,5222.0,31,1.0,0.0,1.0,0.0,0.0,28,14
37,2009,19.3,73.9,0.7668103868266797,3,37420.0,77,1.0,0.0,0.0,1.0,0.0,20,65
38,2010,19.7,46.3,0.8429903787567732,4,37420.0,99,0.0,1.0,0.0,0.0,1.0,20,85
39,2016,18.15,82.0,0.4369465453776981,3,18988.0,71,0.0,1.0,1.0,0.0,0.0,19,12
40,2014,19.68,67.0,0.9564872489950678,3,3487.0,13,1.0,0.0,0.0,1.0,0.0,9,12
41,2017,17.9,136.0,-1.156468829678882,1,321.0,10,1.0,0.0,1.0,0.0,0.0,21,10
42,2011,20.0,68.0,1.0058973852967432,3,3487.0,43,1.0,0.0,0.0,1.0,0.0,9,38
43,2016,22.74,47.3,-0.048786000313672626,4,37420.0,190,0.0,1.0,1.0,0.0,0.0,20,164
44,2011,15.1,140.0,1.6767740511958815,1,18988.0,57,1.0,0.0,0.0,0.0,1.0,19,23
45,2013,21.1,55.2,0.41688192720514944,4,16333.0,84,0.0,1.0,0.0,1.0,0.0,11,84
46,2015,22.77,98.59,0.47115239192022995,3,3487.0,39,1.0,0.0,1.0,0.0,0.0,9,38
47,2013,12.99,100.6,0.8622207221386328,1,5222.0,47,1.0,0.0,0.0,1.0,0.0,28,7
48,2017,12.55,168.5,-0.9500253902159189,1,5222.0,42,1.0,0.0,0.0,1.0,0.0,28,12
49,2014,24.0,70.0,0.064659960918983,3,16333.0,102,1.0,0.0,1.0,0.0,0.0,11,100
50,2013,21.02,88.76,0.7986829961432079,3,8074.0,47,1.0,0.0,1.0,0.0,0.0,27,36
51,2013,18.2,84.8,0.22730693801698354,3,1409.0,31,0.0,1.0,1.0,0.0,0.0,4,21
52,2018,22.77,98.59,-1.0151134136418565,3,3487.0,46,1.0,0.0,1.0,0.0,0.0,9,42
53,2004,16.1,37.0,0.45113533011354445,4,37420.0,23,0.0,1.0,1.0,0.0,0.0,20,11
54,2017,25.32,77.0,0.09031515676448819,3,18988.0,59,1.0,0.0,1.0,0.0,0.0,19,14
55,2012,12.05,120.0,0.9276956009379023,1,18988.0,57,1.0,0.0,0.0,1.0,0.0,19,7
56,2009,17.2,53.5,0.81841605834797,3,8074.0,26,1.0,0.0,0.0,1.0,0.0,27,18
57,2015,11.4,153.86,0.47115239192022995,1,3487.0,39,1.0,0.0,1.0,0.0,0.0,9,1
58,2016,24.52,88.5,-0.048786000313672626,3,37420.0,190,1.0,0.0,1.0,0.0,0.0,20,19
59,2013,22.1,76.9,0.5948981057923737,3,1409.0,31,1.0,0.0,0.0,1.0,0.0,4,21
60,2015,18.5,85.8,0.046393956925015245,3,37420.0,173,0.0,1.0,1.0,0.0,0.0,20,149
61,2011,12.99,100.57,2.1571425314196015,1,5222.0,29,1.0,0.0,0.0,1.0,0.0,28,15
62,2016,27.39,74.0,-0.048786000313672626,3,37420.0,190,1.0,0.0,1.0,0.0,0.0,20,164
63,2010,18.9,67.0,0.8243571911311792,3,37420.0,99,0.0,1.0,0.0,1.0,0.0,20,85
64,2013,21.1,55.2,0.23446592924843754,4,16333.0,84,0.0,1.0,1.0,0.0,0.0,11,84
65,2012,22.32,126.32,0.8586897673823033,2,16333.0,83,1.0,0.0,0.0,1.0,0.0,11,83
66,2012,15.96,62.1,1.6061946252959571,1,18988.0,57,1.0,0.0,1.0,0.0,0.0,19,27
67,2012,19.61,70.0,0.5459399771799548,3,8074.0,78,1.0,0.0,1.0,0.0,0.0,27,54
68,2002,17.3,60.0,0.35846698645061587,4,37420.0,16,0.0,1.0,0.0,0.0,1.0,20,8
69,2017,16.78,88.73,-0.6281526125268952,3,5222.0,42,0.0,1.0,1.0,0.0,0.0,28,30
70,2013,21.9,88.76,0.23446592924843754,3,16333.0,84,1.0,0.0,1.0,0.0,0.0,11,84
71,2012,22.3,74.0,1.056852028091917,3,8074.0,78,1.0,0.0,0.0,1.0,0.0,27,54
72,2006,21.577849519743864,70.51968034096963,0.6945659063898009,3,37420.0,40,0.0,1.0,0.0,0.0,1.0,20,1
73,2014,28.4,74.0,0.03794032195548667,3,37420.0,135,1.0,0.0,1.0,0.0,0.0,20,120
74,2017,17.19,81.86,-0.6060935388716245,3,16333.0,158,0.0,1.0,1.0,0.0,0.0,11,158
75,2018,24.7,47.3,-0.813361244178655,4,37420.0,221,0.0,1.0,1.0,0.0,0.0,20,206
76,2013,19.09,69.01,0.7986829961432079,3,8074.0,47,1.0,0.0,1.0,0.0,0.0,27,36
77,2003,13.1,82.0,0.7592579362471705,3,16333.0,9,1.0,0.0,0.0,1.0,0.0,11,4
78,2007,18.1,110.0,2.407548370982889,3,16333.0,17,1.0,0.0,0.0,1.0,0.0,11,16
79,2018,19.5,88.76,-1.166571743815755,3,3837.0,26,0.0,1.0,1.0,0.0,0.0,10,26
80,2017,25.17,53.3,-0.5332939744028466,4,839.0,29,0.0,1.0,1.0,0.0,0.0,25,26
81,2018,24.04,67.0,-1.3770237701573569,4,839.0,26,0.0,1.0,1.0,0.0,0.0,25,25
82,2015,15.4,120.0,0.47039304362559575,1,18988.0,72,1.0,0.0,1.0,0.0,0.0,19,64
83,2019,16.3,170.63,-2.3435284123743285,1,13.0,5,1.0,0.0,1.0,0.0,0.0,14,5
84,2017,24.0,73.97,-0.6621456027137228,3,16333.0,158,1.0,0.0,0.0,1.0,0.0,11,158
85,2015,21.4,83.1,0.046393956925015245,3,37420.0,173,0.0,1.0,1.0,0.0,0.0,20,149
86,2011,13.6,63.0,1.020338708662347,1,18988.0,57,1.0,0.0,0.0,1.0,0.0,19,23
87,2013,24.0,70.0,0.23446592924843754,3,16333.0,84,1.0,0.0,1.0,0.0,0.0,11,84
88,2019,20.3,68.0,-1.9689832538087462,3,16333.0,59,0.0,1.0,1.0,0.0,0.0,11,59
89,2016,15.71,189.0,-1.1291815462517345,1,956.0,5,0.0,1.0,0.0,1.0,0.0,3,5
90,2018,27.39,74.0,-0.813361244178655,3,37420.0,221,1.0,0.0,1.0,0.0,0.0,20,206
91,2012,25.44,57.6,-0.0038188745179817104,4,1409.0,26,1.0,0.0,0.0,1.0,0.0,4,25
92,2014,21.1,55.2,0.064659960918983,4,16333.0,102,0.0,1.0,1.0,0.0,0.0,11,100
93,2016,18.2,88.7,-0.16542015986266764,3,3837.0,61,0.0,1.0,1.0,0.0,0.0,10,55
94,2015,15.4,75.0,0.47039304362559575,1,18988.0,72,1.0,0.0,1.0,0.0,0.0,19,7
95,2017,21.66,108.62,-0.5235939401453807,3,934.0,14,1.0,0.0,1.0,0.0,0.0,29,14
96,2016,14.3,103.5,-1.7638982571581967,2,684.0,30,0.0,1.0,1.0,0.0,0.0,26,30
97,2005,18.9,67.1,0.25975429506303543,4,37420.0,33,0.0,1.0,1.0,0.0,0.0,20,27
98,2018,20.73,91.1,-0.813361244178655,3,37420.0,221,0.0,1.0,1.0,0.0,0.0,20,206
99,2012,23.08,63.12,0.7049493440989231,3,839.0,16,1.0,0.0,0.0,1.0,0.0,25,16
100,2008,19.81,68.05,0.7219049462287421,3,16333.0,37,0.0,1.0,0.0,1.0,0.0,11,37
101,2011,13.6,63.0,1.020338708662347,1,18988.0,57,1.0,0.0,0.0,1.0,0.0,19,23
102,2012,22.9,74.0,0.7283538070884685,3,37420.0,126,1.0,0.0,0.0,1.0,0.0,20,109
103,2016,25.1,88.5,-0.048786000313672626,3,37420.0,190,1.0,0.0,1.0,0.0,0.0,20,164
104,2012,21.577849519743864,70.51968034096963,0.6133712307265957,3,37420.0,126,0.0,1.0,0.0,0.0,1.0,20,7
105,2009,19.892540192926045,91.02511254019294,1.6187712926595728,3,3487.0,10,1.0,0.0,1.0,0.0,0.0,9,1
106,2011,17.8,68.0,1.0058973852967432,3,3487.0,43,1.0,0.0,0.0,1.0,0.0,9,38
107,2011,18.0,75.0,0.7249038375889177,3,8074.0,63,1.0,0.0,0.0,1.0,0.0,27,46
108,2010,23.0,90.0,0.6466211011078364,3,16333.0,51,1.0,0.0,0.0,1.0,0.0,11,50
109,2011,23.0,90.0,0.6438107129252174,3,16333.0,76,1.0,0.0,0.0,1.0,0.0,11,74
110,2018,23.95,67.05,-0.813361244178655,4,37420.0,221,0.0,1.0,1.0,0.0,0.0,20,206
111,2013,18.5,82.85,0.23446592924843754,3,16333.0,84,0.0,1.0,1.0,0.0,0.0,11,84
112,2017,25.2,74.0,-0.3443485676437629,3,37420.0,238,1.0,0.0,1.0,0.0,0.0,20,212
113,2016,24.8,88.7,-0.19109732370406982,3,16333.0,114,1.0,0.0,1.0,0.0,0.0,11,114
114,2013,22.32,126.32,0.41688192720514944,2,16333.0,84,1.0,0.0,0.0,1.0,0.0,11,84
115,2010,17.0,118.0,0.8682622968487097,3,3837.0,9,0.0,1.0,0.0,0.0,1.0,10,9
116,2012,14.53,138.1,1.177843414950957,2,5222.0,45,0.0,1.0,1.0,0.0,0.0,28,6
117,2017,22.54,88.73,-0.6060935388716245,3,16333.0,158,1.0,0.0,1.0,0.0,0.0,11,158
118,2011,22.32,126.3,0.5013667502066361,2,16333.0,76,1.0,0.0,1.0,0.0,0.0,11,74
119,2013,20.3,75.0,0.639373140683304,3,301.0,4,1.0,0.0,1.0,0.0,0.0,7,4
120,2017,21.1,55.2,-0.6621456027137228,4,16333.0,158,0.0,1.0,0.0,1.0,0.0,11,158
121,2017,19.0,85.8,-0.2683406712488452,3,37420.0,238,0.0,1.0,0.0,1.0,0.0,20,212
122,2016,22.74,47.3,-0.048786000313672626,4,37420.0,190,0.0,1.0,1.0,0.0,0.0,20,164
123,2012,19.7,46.3,0.7283538070884685,4,37420.0,126,0.0,1.0,0.0,1.0,0.0,20,109
124,2014,22.7,89.84,0.9564872489950678,3,3487.0,13,1.0,0.0,0.0,1.0,0.0,9,12
125,2009,12.07,241.4,0.7927344860860831,1,189.0,1,1.0,0.0,0.0,0.0,1.0,2,1
126,2011,12.8,102.0,0.9853355964774947,1,5222.0,29,1.0,0.0,1.0,0.0,0.0,28,5
127,2015,16.0,140.0,0.47039304362559575,1,18988.0,72,1.0,0.0,1.0,0.0,0.0,19,64
128,2017,25.5,98.6,-0.1930179515497708,3,3837.0,57,1.0,0.0,0.0,1.0,0.0,10,49
129,2016,18.7,88.7,-0.16542015986266764,3,3837.0,61,0.0,1.0,1.0,0.0,0.0,10,55
130,2017,28.4,74.02,-0.3443485676437629,3,37420.0,238,1.0,0.0,1.0,0.0,0.0,20,212
131,2008,0.0,62.0,0.4221439771091156,3,16333.0,37,0.0,1.0,1.0,0.0,0.0,11,37
132,2017,23.01,67.0,-0.5332939744028466,4,839.0,29,0.0,1.0,1.0,0.0,0.0,25,26
133,2019,16.78,190.0,-3.2638893210387905,1,956.0,54,1.0,0.0,1.0,0.0,0.0,3,54
134,2015,17.19,81.86,0.11076504712195363,3,16333.0,118,0.0,1.0,1.0,0.0,0.0,11,118
135,2011,21.577849519743864,0.0,0.2642537101458881,3,37420.0,108,0.0,1.0,1.0,0.0,0.0,20,12
136,1998,16.1,37.0,-0.0038188745179817104,4,37420.0,7,0.0,1.0,0.0,1.0,0.0,20,4
137,2010,13.6,63.0,1.4125341773199103,1,18988.0,21,1.0,0.0,0.0,1.0,0.0,19,11
138,2016,21.9,98.6,-0.16542015986266764,3,3837.0,61,1.0,0.0,1.0,0.0,0.0,10,6
139,2016,16.3,147.5,-0.19109732370406982,2,16333.0,114,0.0,1.0,1.0,0.0,0.0,11,114
140,2013,22.9,74.0,0.5848639999519061,3,37420.0,155,1.0,0.0,0.0,1.0,0.0,20,129
141,2010,0.0,62.0,0.4848485563912074,3,16333.0,51,0.0,1.0,1.0,0.0,0.0,11,50
142,2012,19.3,73.9,0.2830395065778076,3,37420.0,126,1.0,0.0,1.0,0.0,0.0,20,109
143,2013,22.1,74.0,0.22730693801698354,3,1409.0,31,1.0,0.0,1.0,0.0,0.0,4,21
144,2012,18.861247771836005,0.0,0.5459399771799548,3,8074.0,78,1.0,0.0,1.0,0.0,0.0,27,10
145,2015,25.2,74.0,-0.01370441691484094,3,37420.0,173,1.0,0.0,0.0,1.0,0.0,20,149
146,2011,15.6,70.0,0.3638347766399108,3,3487.0,43,0.0,1.0,1.0,0.0,0.0,9,38
147,2019,25.17,53.3,-1.9353451170848657,4,839.0,19,0.0,1.0,1.0,0.0,0.0,25,11
148,2013,21.79,67.05,0.23834764238879833,4,37420.0,155,0.0,1.0,1.0,0.0,0.0,20,129
149,2008,11.1,158.8,0.7982474120816045,1,3837.0,12,0.0,1.0,1.0,0.0,0.0,10,12
150,2015,17.57,88.7,0.4857285917244767,3,8074.0,44,0.0,1.0,1.0,0.0,0.0,27,18
151,2014,14.0,95.0,0.634777610814735,1,18988.0,69,1.0,0.0,1.0,0.0,0.0,19,8
152,2017,26.1,99.23,-0.1413106776512537,3,3487.0,34,1.0,0.0,1.0,0.0,0.0,9,32
153,2014,15.96,63.0,0.634777610814735,1,18988.0,69,1.0,0.0,1.0,0.0,0.0,19,7
154,2017,19.33,177.0,-1.1933887639383658,1,204.0,49,1.0,0.0,1.0,0.0,0.0,13,49
155,2018,22.0,81.8,-0.813361244178655,3,37420.0,221,0.0,1.0,1.0,0.0,0.0,20,206
156,2018,22.5,67.0,-1.1509745599829764,4,160.0,12,0.0,1.0,1.0,0.0,0.0,6,10
157,2009,21.577849519743864,70.51968034096963,0.7668103868266797,3,37420.0,77,1.0,0.0,0.0,1.0,0.0,20,11
158,2017,17.1,170.0,-0.5983807450880043,1,13.0,17,1.0,0.0,1.0,0.0,0.0,14,17
159,2005,17.3,60.0,0.25975429506303543,4,37420.0,33,0.0,1.0,1.0,0.0,0.0,20,27
160,2017,19.892540192926045,91.02511254019294,-0.1413106776512537,3,3487.0,34,1.0,0.0,1.0,0.0,0.0,9,2
161,2018,25.83,99.0,-1.0151134136418565,3,3487.0,46,1.0,0.0,1.0,0.0,0.0,9,42
162,2014,18.9,82.0,0.26740264424908206,3,16333.0,102,0.0,1.0,0.0,1.0,0.0,11,100
163,2019,21.4,83.1,-2.266830475225616,3,37420.0,109,0.0,1.0,1.0,0.0,0.0,20,102
164,2019,18.06,63.0,-1.4353645757429951,1,18988.0,36,1.0,0.0,1.0,0.0,0.0,19,18
165,2017,24.3,88.5,-0.3443485676437629,3,37420.0,238,1.0,0.0,1.0,0.0,0.0,20,212
166,2016,25.17,53.3,-0.5394838279420655,4,839.0,36,0.0,1.0,1.0,0.0,0.0,25,36
167,2017,24.0,73.97,-0.6060935388716245,3,16333.0,158,1.0,0.0,1.0,0.0,0.0,11,158
168,2013,12.05,120.0,0.9572972554087638,1,18988.0,60,1.0,0.0,0.0,1.0,0.0,19,8
169,2016,25.17,53.3,-0.5394838279420655,4,839.0,36,0.0,1.0,1.0,0.0,0.0,25,36
170,2017,28.4,74.02,-0.3443485676437629,3,37420.0,238,1.0,0.0,1.0,0.0,0.0,20,212
171,2019,19.0,88.76,-3.0792656731847656,3,3837.0,43,0.0,1.0,1.0,0.0,0.0,10,42
172,2019,20.3,68.0,-1.9689832538087462,3,16333.0,59,0.0,1.0,1.0,0.0,0.0,11,59
173,2011,12.05,120.0,1.0368901402909056,1,18988.0,57,1.0,0.0,1.0,0.0,0.0,19,6
174,2016,19.16,157.7,0.3030978747884284,1,5222.0,50,0.0,1.0,1.0,0.0,0.0,28,26
175,2015,15.96,62.1,0.5743603403378089,1,18988.0,72,1.0,0.0,0.0,1.0,0.0,19,64
176,2016,18.7,88.7,-0.16542015986266764,3,3837.0,61,0.0,1.0,1.0,0.0,0.0,10,55
177,2018,17.0,108.5,-0.24868815323769566,3,8074.0,58,0.0,1.0,0.0,1.0,0.0,27,50
178,2005,19.7,46.3,0.25975429506303543,4,37420.0,33,0.0,1.0,1.0,0.0,0.0,20,27
179,2016,20.4,81.8,-0.048786000313672626,3,37420.0,190,0.0,1.0,1.0,0.0,0.0,20,164
180,2014,18.6,81.86,0.064659960918983,3,16333.0,102,0.0,1.0,1.0,0.0,0.0,11,100
181,2014,12.99,100.6,0.7952176195995114,1,5222.0,31,1.0,0.0,0.0,1.0,0.0,28,14
182,2013,24.7,47.3,0.23834764238879833,4,37420.0,155,0.0,1.0,1.0,0.0,0.0,20,129
183,2012,15.1,140.0,0.9276956009379023,1,18988.0,57,1.0,0.0,0.0,1.0,0.0,19,27
184,2007,16.1,37.0,0.510949600778407,4,37420.0,52,0.0,1.0,0.0,1.0,0.0,20,10
185,2018,21.19,88.73,-1.5372043794788293,3,16333.0,103,1.0,0.0,0.0,1.0,0.0,11,103
186,2017,28.4,74.0,-0.3443485676437629,3,37420.0,238,1.0,0.0,1.0,0.0,0.0,20,212
187,2014,15.1,140.0,0.634777610814735,1,18988.0,69,1.0,0.0,1.0,0.0,0.0,19,47
188,2018,20.51,67.0,-0.813361244178655,4,37420.0,221,0.0,1.0,1.0,0.0,0.0,20,206
189,2016,24.3,88.5,-0.047304311768074585,3,37420.0,190,1.0,0.0,0.0,1.0,0.0,20,164
190,2012,19.33,138.1,0.4632488345401517,1,934.0,22,1.0,0.0,0.0,0.0,1.0,29,22
191,2014,15.1,140.0,1.101121450637034,1,18988.0,69,1.0,0.0,0.0,0.0,1.0,19,47
192,2018,16.0,138.0,-0.5796426694658621,1,18988.0,47,1.0,0.0,1.0,0.0,0.0,19,24
193,2017,19.33,177.0,-1.1933887639383658,1,204.0,49,1.0,0.0,1.0,0.0,0.0,13,49
194,2012,21.5,88.8,0.2830395065778076,3,37420.0,126,1.0,0.0,1.0,0.0,0.0,20,109
195,2005,14.8,80.0,2.1056387001025354,1,1409.0,1,1.0,0.0,1.0,0.0,0.0,4,1
196,2010,19.7,46.3,0.8429903787567732,4,37420.0,99,0.0,1.0,0.0,0.0,1.0,20,85
197,2017,15.4,120.0,0.09031515676448819,1,18988.0,59,1.0,0.0,1.0,0.0,0.0,19,41
198,2018,28.4,74.0,-0.813361244178655,3,37420.0,221,1.0,0.0,1.0,0.0,0.0,20,206
199,2014,17.4,117.3,0.6318318478010228,3,3837.0,31,0.0,1.0,1.0,0.0,0.0,10,29
200,2011,18.8,90.0,0.6401747059009588,3,8074.0,63,1.0,0.0,1.0,0.0,0.0,27,46
201,2016,17.0,73.75,-0.05897888495050184,3,934.0,15,0.0,1.0,1.0,0.0,0.0,29,15
202,2007,18.2,67.1,0.7389363283614654,4,37420.0,52,0.0,1.0,0.0,0.0,1.0,20,42
203,2017,21.4,83.1,-0.3443485676437629,3,37420.0,238,0.0,1.0,1.0,0.0,0.0,20,212
204,2016,27.39,74.0,-0.048786000313672626,3,37420.0,190,1.0,0.0,1.0,0.0,0.0,20,164
205,2018,17.6,147.94,-0.821646490966374,1,8074.0,58,1.0,0.0,1.0,0.0,0.0,27,7
206,2018,16.8,150.0,-4.027043353861356,1,309.0,29,1.0,0.0,1.0,0.0,0.0,30,29
207,2017,19.33,177.0,-1.1933887639383658,1,204.0,49,1.0,0.0,1.0,0.0,0.0,13,49
208,2015,26.59,74.0,0.046393956925015245,3,37420.0,173,1.0,0.0,1.0,0.0,0.0,20,149
209,2013,20.92,67.1,0.23834764238879833,4,37420.0,155,0.0,1.0,1.0,0.0,0.0,20,129
210,2013,23.4,74.0,0.23834764238879833,3,37420.0,155,1.0,0.0,1.0,0.0,0.0,20,129
211,2010,17.8,68.0,0.8582153094546316,3,3487.0,18,1.0,0.0,0.0,1.0,0.0,9,17
212,2012,18.5,86.8,0.16956860135399493,3,3837.0,16,0.0,1.0,1.0,0.0,0.0,10,16
213,2017,23.1,67.04,-0.3443485676437629,4,37420.0,238,0.0,1.0,1.0,0.0,0.0,20,212
214,2013,25.4,37.48,0.7986829961432079,4,8074.0,47,0.0,1.0,1.0,0.0,0.0,27,3
215,2009,19.0,67.1,0.5030192753451622,4,37420.0,77,0.0,1.0,1.0,0.0,0.0,20,65
216,2012,20.36,78.9,0.3342198610661969,3,16333.0,83,0.0,1.0,1.0,0.0,0.0,11,83
217,2013,19.68,67.0,0.305853865732903,3,3487.0,22,1.0,0.0,0.0,1.0,0.0,9,19
218,2015,20.77,88.76,0.046393956925015245,3,37420.0,173,1.0,0.0,1.0,0.0,0.0,20,23
219,2010,25.5,99.23,0.8582153094546316,3,3487.0,18,1.0,0.0,0.0,1.0,0.0,9,17
220,2011,16.95,97.7,-0.25578308869049826,3,200.0,9,0.0,1.0,0.0,1.0,0.0,23,9
221,2014,23.4,74.0,0.3258395543531243,3,37420.0,135,1.0,0.0,0.0,1.0,0.0,20,120
222,2010,16.0,90.0,0.4683145333321865,3,301.0,5,0.0,1.0,0.0,1.0,0.0,7,5
223,2014,17.68,174.33,0.7344396511728216,1,189.0,7,1.0,0.0,1.0,0.0,0.0,2,6
224,2010,21.1,73.9,0.8429903787567732,3,37420.0,99,1.0,0.0,0.0,0.0,1.0,20,85
225,2018,25.4,73.97,-0.9589839968572472,3,16333.0,103,1.0,0.0,1.0,0.0,0.0,11,103
226,2015,14.1,147.94,0.4857285917244767,1,8074.0,44,1.0,0.0,1.0,0.0,0.0,27,22
227,2019,16.78,190.0,-3.2638893210387905,1,956.0,54,1.0,0.0,1.0,0.0,0.0,3,54
228,2017,24.0,73.97,-0.6060935388716245,3,16333.0,158,1.0,0.0,1.0,0.0,0.0,11,158
229,2014,19.09,69.01,1.0904419557948866,3,8074.0,28,1.0,0.0,1.0,0.0,0.0,27,22
230,2020,15.1,152.87,-0.09982122655472474,1,18988.0,3,1.0,0.0,1.0,0.0,0.0,19,1
231,2013,20.77,88.76,0.5848639999519061,3,37420.0,155,1.0,0.0,0.0,1.0,0.0,20,23
232,2016,25.1,88.5,-0.048786000313672626,3,37420.0,190,1.0,0.0,1.0,0.0,0.0,20,164
233,2015,23.95,67.05,0.046393956925015245,4,37420.0,173,0.0,1.0,1.0,0.0,0.0,20,149
234,2010,20.92,67.1,0.8429903787567732,4,37420.0,99,0.0,1.0,0.0,0.0,1.0,20,85
235,2015,26.59,74.0,0.046393956925015245,3,37420.0,173,1.0,0.0,1.0,0.0,0.0,20,149
236,2016,23.0,88.7,-0.0058147542743370575,3,8074.0,27,1.0,0.0,1.0,0.0,0.0,27,23
237,2013,19.4,70.0,0.7986829961432079,3,8074.0,47,1.0,0.0,1.0,0.0,0.0,27,36
238,2012,16.2,62.1,-0.0038188745179817104,4,1409.0,26,0.0,1.0,0.0,1.0,0.0,4,25
239,2017,16.78,88.73,-0.6281526125268952,3,5222.0,42,0.0,1.0,1.0,0.0,0.0,28,30
240,2019,18.0,190.0,-1.7968702968253176,1,309.0,26,1.0,0.0,1.0,0.0,0.0,30,26
241,2003,16.1,37.0,0.7996227235960441,4,37420.0,22,0.0,1.0,0.0,0.0,1.0,20,9
242,2009,18.9,67.0,0.7668103868266797,3,37420.0,77,0.0,1.0,0.0,1.0,0.0,20,65
243,2018,24.3,88.5,-0.813361244178655,3,37420.0,221,1.0,0.0,1.0,0.0,0.0,20,206
244,2014,21.63,67.04,0.03794032195548667,4,37420.0,135,0.0,1.0,1.0,0.0,0.0,20,120
245,2015,20.85,83.14,0.046393956925015245,3,37420.0,173,0.0,1.0,1.0,0.0,0.0,20,149
246,2015,25.8,98.6,0.007675698505443592,3,3837.0,42,1.0,0.0,1.0,0.0,0.0,10,37
247,2015,24.4,71.01,0.11665136105984716,3,16333.0,118,1.0,0.0,0.0,1.0,0.0,11,118
248,2017,25.4,73.97,-0.6621456027137228,3,16333.0,158,1.0,0.0,0.0,1.0,0.0,11,158
249,2010,18.9,67.1,0.48580674706115007,4,37420.0,99,0.0,1.0,1.0,0.0,0.0,20,85
