,company,seller_type,year,seats,index,name,number_sold,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,km_distances,binned_engine,co_cc,_num_sales,Diesel,petrol,firstowner,secondowner,others,_company,_seats_in_year,avg_sellertype
26,Maruti,Individual,2007,4.0,26,Maruti 800 AC,32,-0.7392794568054984,10000,Petrol,1,First Owner,16.1,796.0,37.0,0.27701866976988393,4,35091.0,50,0.0,1.0,1.0,0.0,0.0,20,11,-0.35797528539639534
27,BMW,Dealer,2019,5.0,27,BMW X4 M Sport X xDrive20d,56,5.866181442997141,8500,Diesel,0,First Owner,16.78,1995.0,190.0,-3.251770794237543,1,982.0,58,1.0,0.0,1.0,0.0,0.0,3,58,5.727509713930722
28,Maruti,Dealer,2017,7.0,28,Maruti Ertiga VDI,38,0.09471286174231891,76000,Diesel,1,First Owner,25.47,1248.0,88.5,-0.3806707764355942,3,35091.0,227,1.0,0.0,1.0,0.0,0.0,20,15,-0.11139741215452358
29,Ford,Dealer,2019,5.0,29,Ford Figo Titanium Blu,1,0.06449574875145596,3177,Petrol,1,First Owner,18.5,1194.0,94.93,-1.9396712028622023,3,3659.0,20,0.0,1.0,1.0,0.0,0.0,9,20,-0.12725770458060498
30,Maruti,Individual,2015,5.0,30,Maruti Wagon R VXI BS IV,35,-0.3585438331206253,40000,Petrol,1,Second Owner,20.51,998.0,67.04,0.16133477602342539,4,35091.0,181,0.0,1.0,0.0,1.0,0.0,20,156,-0.35797528539639534
31,Mahindra,Individual,2016,6.0,31,Mahindra Thar CRDe,9,-0.020112167622960295,101000,Diesel,1,First Owner,16.55,2498.0,105.0,0.48571453287014466,1,18820.0,71,1.0,0.0,1.0,0.0,0.0,19,14,-0.049666327583259055
32,Chevrolet,Individual,2014,5.0,32,Chevrolet Beat Diesel LT,15,-0.5881938918511836,70000,Diesel,1,others,25.44,936.0,56.3,0.25846808050697156,4,1317.0,18,1.0,0.0,0.0,0.0,1.0,4,10,-0.5092084317550766
33,Maruti,Individual,2017,5.0,33,Maruti Wagon R LXI Optional,6,-0.34645698792428015,80000,Petrol,1,First Owner,20.51,998.0,67.04,-0.3806707764355942,4,35091.0,227,0.0,1.0,1.0,0.0,0.0,20,206,-0.35797528539639534
34,Mahindra,Individual,2019,7.0,34,Mahindra Scorpio S7 120,2,0.7897064605321666,20000,Diesel,1,First Owner,16.36,2179.0,120.0,-1.5854894399954755,1,18820.0,32,1.0,0.0,1.0,0.0,0.0,19,19,-0.049666327583259055
35,Volkswagen,Dealer,2015,5.0,35,Volkswagen Vento 1.5 TDI Highline Plus AT,1,0.005270207289364582,69000,Diesel,0,First Owner,22.15,1498.0,108.6,-0.046199095199595794,3,599.0,9,1.0,0.0,1.0,0.0,0.0,29,9,-0.02658738364554182
36,Maruti,Individual,2013,7.0,36,Maruti Ertiga ZDI,18,0.06449574875145596,37659,Diesel,1,First Owner,20.77,1248.0,88.8,0.29817717426724394,3,35091.0,152,1.0,0.0,1.0,0.0,0.0,20,27,-0.35797528539639534
37,Tata,Individual,2015,7.0,37,Tata Safari Storme EX,26,-0.17361510161654406,110000,Diesel,1,First Owner,14.1,2179.0,147.94,0.5836228999578853,1,8081.0,47,1.0,0.0,1.0,0.0,0.0,27,27,-0.4038951134633411
38,Hyundai,Individual,2017,5.0,38,Hyundai EON 1.0 Era Plus,8,-0.47941228508407707,35000,Petrol,1,Second Owner,20.3,998.0,68.05,-0.6998013483981024,4,15548.0,162,0.0,1.0,0.0,1.0,0.0,11,162,-0.26450256908028097
39,Maruti,Individual,2005,5.0,39,Maruti Alto LXi BSIII,15,-0.5640202014584933,49455,Petrol,1,First Owner,19.7,796.0,46.3,-0.0006381416887984441,4,35091.0,35,0.0,1.0,1.0,0.0,0.0,20,26,-0.35797528539639534
40,Hyundai,Individual,2011,5.0,40,Hyundai Verna 1.6 CRDI,10,-0.34645698792428015,157000,Diesel,1,Second Owner,22.32,1582.0,126.3,0.7056827886473652,2,15548.0,72,1.0,0.0,0.0,1.0,0.0,11,70,-0.26450256908028097
41,BMW,Dealer,2018,4.0,41,BMW 6 Series GT 630d Luxury Line,5,6.4705237028144005,28156,Diesel,0,First Owner,17.09,2993.0,261.4,-1.6086383175488173,1,982.0,11,1.0,0.0,1.0,0.0,0.0,3,5,5.727509713930722
42,Ford,Individual,2018,5.0,42,Ford EcoSport 1.5 Diesel Trend Plus BSIV,3,0.06449574875145596,53000,Diesel,1,First Owner,23.0,1498.0,98.96,-1.052732822592658,3,3659.0,45,1.0,0.0,1.0,0.0,0.0,9,42,-0.1804388998962062
43,Tata,Individual,2008,5.0,43,Tata Indica V2 LSi,2,-0.6788452308237726,25000,Petrol,1,Second Owner,16.84,1193.0,64.4,0.680464898032961,3,8081.0,20,0.0,1.0,0.0,1.0,0.0,27,13,-0.4038951134633411
44,Renault,Individual,2012,5.0,44,Renault Pulse RxZ,2,-0.4189780591023512,100000,Diesel,1,others,23.08,1461.0,63.12,1.000454273734156,3,922.0,16,1.0,0.0,0.0,0.0,1.0,25,16,-0.2859515383770954
45,Mahindra,Individual,2011,9.0,45,Mahindra Bolero 2011-2019 Plus - AC BSIII,3,-0.39480436870966085,175000,Diesel,1,others,15.96,2523.0,63.0,1.5096096916315827,1,18820.0,57,1.0,0.0,0.0,0.0,1.0,19,5,-0.049666327583259055
46,Maruti,Individual,2011,5.0,46,Maruti Omni 5 Seater BSIV,2,-0.6244544274402193,70000,Petrol,1,Second Owner,14.0,796.0,35.0,0.7531434142222494,4,35091.0,108,0.0,1.0,0.0,1.0,0.0,20,94,-0.35797528539639534
47,Chevrolet,Individual,2013,7.0,47,Chevrolet Enjoy TCDi LTZ 7 Seater,5,-0.4189780591023512,90000,Diesel,1,First Owner,18.2,1248.0,73.8,0.20103297644201484,3,1317.0,30,1.0,0.0,1.0,0.0,0.0,4,8,-0.5092084317550766
48,Hyundai,Individual,2010,5.0,48,Hyundai i10 Sportz,19,-0.5277596658694578,94000,Petrol,1,Second Owner,20.36,1197.0,78.9,0.7529361395849068,3,15548.0,42,0.0,1.0,0.0,1.0,0.0,11,41,-0.26450256908028097
49,Hyundai,Dealer,2017,5.0,49,Hyundai Creta 1.6 SX Diesel,1,0.3968839916509484,41000,Diesel,1,First Owner,20.5,1582.0,126.2,-0.5703787972979606,2,15548.0,162,1.0,0.0,1.0,0.0,0.0,11,162,-0.10855554250842206
50,Maruti,Individual,2007,5.0,50,Maruti Swift VXI BSIII,1,-0.6244544274402193,120000,Petrol,1,First Owner,16.1,1298.0,88.2,0.27701866976988393,3,35091.0,50,0.0,1.0,1.0,0.0,0.0,20,39,-0.35797528539639534
51,Hyundai,Individual,2008,5.0,51,Hyundai i10 Era,19,-0.539846511065803,60000,Petrol,1,Second Owner,19.81,1086.0,68.05,0.6085712840444143,3,15548.0,39,0.0,1.0,0.0,1.0,0.0,11,39,-0.26450256908028097
52,Tata,Individual,2017,5.0,52,Tata Indigo CS LX (TDI) BS-III,7,-0.23767538115717352,70000,Diesel,1,First Owner,19.09,1405.0,69.01,-0.10256500506720785,3,8081.0,63,1.0,0.0,1.0,0.0,0.0,27,47,-0.4038951134633411
53,Ford,Individual,2011,7.0,53,Ford Endeavour 2.5L 4X2 MT,4,0.3666668786600854,68000,Diesel,1,First Owner,13.1,2499.0,141.0,0.3504849768273123,1,3659.0,43,1.0,0.0,1.0,0.0,0.0,9,5,-0.1804388998962062
54,Honda,Individual,2017,5.0,54,Honda WR-V i-DTEC S,4,0.18536420071490775,70000,Diesel,1,First Owner,25.5,1498.0,98.6,-0.44273254315628324,3,3884.0,56,1.0,0.0,1.0,0.0,0.0,10,50,-0.11712715449401692
55,Tata,Individual,2019,7.0,55,Tata Safari Storme VX Varicor 400,1,0.7292722345504408,100000,Diesel,1,First Owner,14.1,2179.0,153.86,-1.5767191602400932,1,8081.0,23,1.0,0.0,1.0,0.0,0.0,27,2,-0.4038951134633411
56,Maruti,Individual,2018,5.0,56,Maruti Baleno RS 1.0 Petrol,3,0.12492997473318185,15000,Petrol,1,First Owner,21.1,998.0,100.5,-0.7529080876777112,4,35091.0,221,0.0,1.0,1.0,0.0,0.0,20,208,-0.35797528539639534
57,Maruti,Individual,2005,5.0,57,Maruti Alto LX,36,-0.7151057664128081,39000,Petrol,1,First Owner,19.7,796.0,46.3,-0.0006381416887984441,4,35091.0,35,0.0,1.0,1.0,0.0,0.0,20,26,-0.35797528539639534
58,Hyundai,Individual,2013,5.0,58,Hyundai i20 Magna Optional 1.4 CRDi,3,-0.3645872557187979,40000,Diesel,1,First Owner,21.9,1396.0,88.8,0.23999891579500848,3,15548.0,88,1.0,0.0,1.0,0.0,0.0,11,88,-0.26450256908028097
59,Skoda,Dealer,2016,5.0,59,Skoda Rapid 1.6 MPI AT Elegance,26,-0.0019818998284425256,11000,Petrol,0,First Owner,14.3,1598.0,103.5,-1.7456353715522832,2,897.0,30,0.0,1.0,1.0,0.0,0.0,26,30,0.3032902714219526
60,Hyundai,Individual,2016,5.0,60,Hyundai EON D Lite Plus Option,1,-0.5156728206731126,100000,Petrol,1,First Owner,21.1,814.0,55.2,-0.07320221635043335,4,15548.0,118,0.0,1.0,1.0,0.0,0.0,11,118,-0.26450256908028097
61,Ford,Individual,2007,5.0,61,Ford Fiesta 1.4 Duratorq EXI,1,-0.6304978500383919,110000,Diesel,1,others,17.8,1399.0,68.0,1.000454273734156,3,3659.0,4,1.0,0.0,0.0,0.0,1.0,9,4,-0.1804388998962062
62,Mahindra,Individual,2015,7.0,62,Mahindra XUV500 W10 2WD,18,0.24579842669663363,140000,Diesel,1,First Owner,16.0,2179.0,140.0,0.5159494199651156,1,18820.0,79,1.0,0.0,1.0,0.0,0.0,19,69,-0.049666327583259055
63,Maruti,Dealer,2016,5.0,63,Maruti Wagon R VXI,15,-0.2981096071388994,74381,Petrol,1,First Owner,21.79,998.0,67.05,-0.06351717045580828,4,35091.0,185,0.0,1.0,1.0,0.0,0.0,20,159,-0.11139741215452358
64,Hyundai,Individual,2013,5.0,64,Hyundai Verna 1.6 SX,27,-0.1772411551754476,87000,Diesel,1,Second Owner,22.32,1582.0,126.32,0.3319444977429747,2,15548.0,88,1.0,0.0,0.0,1.0,0.0,11,88,-0.26450256908028097
65,Honda,Individual,2006,5.0,65,Honda City 2017-2020 EXi,5,-0.6002807370475288,140000,Petrol,1,others,17.7,1497.0,78.0,1.332081750142919,3,3884.0,11,0.0,1.0,0.0,0.0,1.0,10,11,-0.11712715449401692
66,Chevrolet,Individual,2011,7.0,66,Chevrolet Captiva LT,4,-0.1772411551754476,99500,Diesel,1,others,11.5,1991.0,147.9,0.6310260896417147,1,1317.0,33,1.0,0.0,0.0,0.0,1.0,4,3,-0.5092084317550766
67,Maruti,Individual,2017,7.0,67,Maruti Ertiga SHVS VDI,13,0.08866943914414631,80000,Diesel,1,First Owner,24.52,1248.0,88.5,-0.3806707764355942,3,35091.0,227,1.0,0.0,1.0,0.0,0.0,20,15,-0.35797528539639534
68,Nissan,Individual,2012,5.0,68,Nissan Sunny XL,4,-0.39480436870966085,70000,Petrol,1,Second Owner,16.95,1498.0,97.7,0.8764998369565667,3,213.0,7,0.0,1.0,0.0,1.0,0.0,23,7,-0.24204475758112015
69,Tata,Individual,2013,5.0,69,Tata Indica Vista TDI LX,11,-0.50962939807494,70000,Diesel,1,Second Owner,19.4,1405.0,70.0,0.8711262923766169,3,8081.0,46,1.0,0.0,0.0,1.0,0.0,27,37,-0.4038951134633411
70,Hyundai,Individual,2010,5.0,70,Hyundai i10 Sportz AT,3,-0.544681249144341,110000,Petrol,0,others,16.95,1197.0,78.9,0.8208464936252203,3,15548.0,42,0.0,1.0,0.0,0.0,1.0,11,41,-0.26450256908028097
71,Hyundai,Dealer,2017,5.0,71,Hyundai i20 2015-2017 Magna 1.2,5,-0.09263323880103137,28782,Petrol,1,First Owner,18.6,1197.0,81.83,-0.5703787972979606,3,15548.0,162,0.0,1.0,1.0,0.0,0.0,11,162,-0.10855554250842206
72,Maruti,Individual,2015,5.0,72,Maruti Swift VDI BSIV,48,-0.195372631654485,30000,Diesel,1,First Owner,25.2,1248.0,74.0,-0.05154252201296965,3,35091.0,181,1.0,0.0,1.0,0.0,0.0,20,156,-0.35797528539639534
73,Hyundai,Individual,2017,5.0,73,Hyundai Verna CRDi 1.6 EX,1,0.25788527189297883,40000,Diesel,1,Second Owner,22.0,1582.0,126.2,-0.6998013483981024,2,15548.0,162,1.0,0.0,0.0,1.0,0.0,11,162,-0.26450256908028097
74,Hyundai,Individual,2015,5.0,74,Hyundai Xcent 1.2 Kappa Base,2,-0.32832672012976233,30000,Petrol,1,First Owner,19.1,1197.0,82.0,0.08515743795291875,3,15548.0,119,0.0,1.0,1.0,0.0,0.0,11,119,-0.26450256908028097
75,Chevrolet,Individual,2017,7.0,75,Chevrolet Enjoy 1.3 TCDi LTZ 7,1,0.03427863576059301,50000,Diesel,1,Second Owner,18.2,1248.0,73.74,-0.29389026241746063,3,1317.0,2,1.0,0.0,0.0,1.0,0.0,4,1,-0.5092084317550766
76,Maruti,Individual,2018,5.0,76,Maruti Swift Dzire VDI,97,0.19865973043088744,100000,Diesel,1,First Owner,28.4,1248.0,74.02,-0.7529080876777112,3,35091.0,221,1.0,0.0,1.0,0.0,0.0,20,208,-0.35797528539639534
77,Honda,Individual,2017,5.0,77,Honda Brio 1.2 VX MT,3,-0.23767538115717352,6750,Petrol,1,First Owner,18.5,1198.0,86.8,-0.44273254315628324,3,3884.0,56,0.0,1.0,1.0,0.0,0.0,10,50,-0.11712715449401692
78,Maruti,Individual,2016,5.0,78,Maruti Swift VDI Deca,2,-0.020112167622960295,70000,Diesel,1,First Owner,25.2,1248.0,74.0,-0.06351717045580828,3,35091.0,185,1.0,0.0,1.0,0.0,0.0,20,159,-0.35797528539639534
79,Hyundai,Individual,2005,5.0,79,Hyundai Accent GLE,5,-0.6002807370475288,120000,Petrol,1,First Owner,13.2,1495.0,94.0,0.8191807234128903,3,15548.0,16,0.0,1.0,1.0,0.0,0.0,11,9,-0.26450256908028097
80,Maruti,Individual,2015,5.0,80,Maruti Alto K10 VXI,45,-0.4612820172895593,67000,Petrol,1,First Owner,23.95,998.0,67.05,-0.05154252201296965,4,35091.0,181,0.0,1.0,1.0,0.0,0.0,20,156,-0.35797528539639534
81,Maruti,Individual,2006,5.0,81,Maruti Wagon R PRIMEA,1,-0.6365412726365645,90000,Petrol,1,Second Owner,18.9,998.0,67.0,0.9290160356756383,4,35091.0,38,0.0,1.0,0.0,1.0,0.0,20,28,-0.35797528539639534
82,Maruti,Individual,2015,7.0,82,Maruti Ertiga VDI,38,-0.09142455428139684,68000,Diesel,1,Second Owner,20.77,1248.0,88.76,0.16133477602342539,3,35091.0,181,1.0,0.0,0.0,1.0,0.0,20,24,-0.35797528539639534
83,Maruti,Individual,2016,5.0,83,Maruti Ritz LXi,3,-0.4552385946913867,82000,Petrol,1,others,18.5,1197.0,85.8,0.7142328934097875,3,35091.0,185,0.0,1.0,0.0,0.0,1.0,20,159,-0.35797528539639534
84,Ford,Individual,2018,5.0,84,Ford Freestyle Trend Diesel BSIV,1,0.03427863576059301,60000,Diesel,1,First Owner,24.4,1498.0,98.63,-1.052732822592658,3,3659.0,45,1.0,0.0,1.0,0.0,0.0,9,42,-0.1804388998962062
85,Maruti,Trustmark Dealer,2013,5.0,85,Maruti Wagon R LXI,46,-0.50962939807494,58343,Petrol,1,First Owner,21.79,998.0,67.05,0.29817717426724394,4,35091.0,152,0.0,1.0,1.0,0.0,0.0,20,124,-0.25043948753767425
86,Mahindra,Individual,2016,7.0,86,Mahindra TUV 300 T8,18,-0.026155590221132882,120000,Diesel,1,First Owner,18.49,1493.0,100.0,0.48571453287014466,3,18820.0,71,1.0,0.0,1.0,0.0,0.0,19,46,-0.049666327583259055
87,Kia,Individual,2019,5.0,87,Kia Seltos HTX Plus AT D,3,1.122094703431659,20000,Diesel,0,First Owner,17.8,1493.0,113.4,-2.270351767240563,3,2.0,2,1.0,0.0,1.0,0.0,0.0,15,2,0.6288337722407847
88,Mahindra,Individual,2014,8.0,88,Mahindra Scorpio EX,5,-0.11680692919372172,60000,Diesel,1,First Owner,14.0,2523.0,75.0,0.7837793988306828,1,18820.0,71,1.0,0.0,1.0,0.0,0.0,19,11,-0.049666327583259055
89,Hyundai,Dealer,2013,5.0,89,Hyundai i20 Asta Optional with Sunroof 1.2,2,-0.14702404218458467,61500,Petrol,1,First Owner,18.5,1197.0,82.85,0.23999891579500848,3,15548.0,88,0.0,1.0,1.0,0.0,0.0,11,88,-0.10855554250842206
90,Mahindra,Individual,2017,7.0,90,Mahindra TUV 300 T8,18,0.06449574875145596,40000,Diesel,1,First Owner,18.49,1493.0,100.0,0.20675391118241768,3,18820.0,55,1.0,0.0,1.0,0.0,0.0,19,41,-0.049666327583259055
91,Maruti,Dealer,2017,5.0,91,Maruti Ignis Zeta,1,-0.14702404218458467,29000,Petrol,1,First Owner,20.89,1197.0,81.8,-0.3806707764355942,3,35091.0,227,0.0,1.0,1.0,0.0,0.0,20,206,-0.11139741215452358
92,Maruti,Individual,2017,5.0,92,Maruti Celerio ZXI Optional,5,-0.1977887920092344,15000,Petrol,1,First Owner,23.1,998.0,67.04,-0.3806707764355942,4,35091.0,227,0.0,1.0,1.0,0.0,0.0,20,206,-0.35797528539639534
93,Maruti,Individual,2010,5.0,93,Maruti Wagon R VXI BS IV with ABS,3,-0.5217162432712852,120600,Petrol,1,Second Owner,18.9,998.0,67.1,1.037198330406781,4,35091.0,111,0.0,1.0,0.0,1.0,0.0,20,93,-0.35797528539639534
94,Maruti,Individual,2018,5.0,94,Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,1,0.12492997473318185,40000,Diesel,1,First Owner,25.1,1248.0,88.5,-0.7529080876777112,3,35091.0,221,1.0,0.0,1.0,0.0,0.0,20,208,-0.35797528539639534
95,Tata,Individual,2012,5.0,95,Tata Indigo CS LX (TDI) BS III,7,-0.6002807370475288,150000,Diesel,1,others,19.09,1396.0,69.0,1.116909854337603,3,8081.0,68,1.0,0.0,0.0,0.0,1.0,27,46,-0.4038951134633411
96,Maruti,Individual,2012,5.0,96,Maruti Alto K10 2010-2014 VXI,24,-0.47699491604480804,48000,Petrol,1,First Owner,20.92,998.0,67.1,0.40103462008108093,4,35091.0,113,0.0,1.0,1.0,0.0,0.0,20,101,-0.35797528539639534
97,Mahindra,Individual,2010,7.0,97,Mahindra Bolero LX Non AC BSIII,1,-0.23767538115717352,78000,Diesel,1,First Owner,13.6,2523.0,63.0,1.0105184722655693,1,18820.0,22,1.0,0.0,1.0,0.0,0.0,19,10,-0.049666327583259055
98,Maruti,Individual,2013,7.0,98,Maruti Ertiga VXI,9,-0.23767538115717352,140000,Petrol,1,First Owner,16.02,1373.0,93.7,0.29817717426724394,3,35091.0,152,0.0,1.0,1.0,0.0,0.0,20,27,-0.35797528539639534
99,Maruti,Individual,2012,5.0,99,Maruti A-Star Vxi,13,-0.44919517209321413,60000,Petrol,1,First Owner,19.0,998.0,66.1,0.40103462008108093,4,35091.0,113,0.0,1.0,1.0,0.0,0.0,20,101,-0.35797528539639534
100,Hyundai,Individual,2017,5.0,100,Hyundai i20 1.2 Magna Executive,6,-0.23767538115717352,70000,Petrol,1,First Owner,18.6,1197.0,81.83,-0.5703787972979606,3,15548.0,162,0.0,1.0,1.0,0.0,0.0,11,162,-0.26450256908028097
101,Toyota,Individual,2012,8.0,101,Toyota Innova 2.5 GX 8 STR,3,-0.04428585801565065,90000,Diesel,1,First Owner,12.8,2494.0,102.0,1.265528770176239,1,5059.0,40,1.0,0.0,1.0,0.0,0.0,28,6,0.2993815531042407
102,Maruti,Dealer,2018,5.0,102,Maruti Vitara Brezza VDi,9,0.11888655213500926,48000,Diesel,1,First Owner,24.3,1248.0,88.5,-0.7529080876777112,3,35091.0,221,1.0,0.0,1.0,0.0,0.0,20,208,-0.11139741215452358
103,Kia,Individual,2019,5.0,103,Kia Seltos HTE D,1,-0.004399268867711561,10000,Diesel,1,First Owner,20.8,1493.0,113.4,-2.270351767240563,3,2.0,2,1.0,0.0,1.0,0.0,0.0,15,2,0.6288337722407847
104,Honda,Dealer,2018,5.0,104,Honda Jazz 1.2 V i VTEC,4,0.0403220583587656,8576,Petrol,1,First Owner,18.7,1199.0,88.7,-1.2220710334911686,3,3884.0,22,0.0,1.0,1.0,0.0,0.0,10,22,0.06345833595070623
105,Hyundai,Individual,2018,5.0,105,Hyundai i20 1.2 Asta,9,0.06449574875145596,30000,Petrol,1,Second Owner,18.6,1197.0,81.83,-1.2588104932177002,3,15548.0,104,0.0,1.0,0.0,1.0,0.0,11,104,-0.26450256908028097
